@relation xalan-2-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}

@data
75,1,1,96,196,2497,86,23,59,0.933784,3247,1,9,0,0.093333,0,0,41.893333,13,2.2667,1
64,2,0,38,159,878,20,22,58,0.820513,1706,0.692308,5,0.088235,0.126116,1,1,25.453125,6,1.3906,1
16,5,0,19,44,8,4,16,14,0.75,261,1,2,0.899281,0.18125,3,10,15.0625,4,1.4375,0
3,3,0,7,7,3,2,5,3,2,25,0,0,0.953488,0.555556,1,1,7.333333,1,0.6667,0
34,2,0,20,144,337,4,17,19,0.894661,1704,1,6,0.288889,0.131488,0,0,48.5,18,2.7059,0
2,1,0,1,4,1,1,0,2,2,9,0,0,0,0.75,0,0,3.5,1,0.5,0
42,3,0,18,103,547,12,8,37,0.918293,1046,0.4,0,0.837607,0.233062,0,0,23.428571,13,2,1
2,3,0,4,4,1,1,3,2,2,13,0,0,0.97619,0.75,1,1,5.5,1,0.5,0
0,1,0,11,0,0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0
34,1,0,12,124,211,0,12,28,0.656566,1600,1,3,0,0.196078,0,0,45.794118,7,1.6176,0
4,2,0,18,7,0,1,17,4,0.166667,93,1,0,0.8,0.4,0,0,21.75,12,4,0
11,3,0,3,19,55,1,2,11,2,79,0,0,0.804348,0.363636,0,0,6.181818,1,0.8182,0
18,1,0,0,20,3,0,0,10,0.329412,833,1,0,0,0.685185,0,0,45,8,3.1111,0
7,1,0,4,19,21,0,4,7,2,158,0,0,0,0.380952,0,0,21.571429,6,2.5714,0
2,1,0,5,2,1,5,0,2,2,17,0,0,0,1,0,0,0,1,1,0
4,4,0,8,24,6,0,8,4,2,121,0,0,0.985366,0.625,2,4,29.25,1,0.75,0
2,4,1,5,4,1,1,5,2,2,11,0,0,1,0.6,0,0,4.5,0,0,0
0,1,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,3,0,7,7,3,2,5,3,2,25,0,0,0.953488,0.555556,1,1,7.333333,1,0.6667,0
6,3,0,29,58,0,2,28,5,0.65,361,1,3,0.918033,0.305556,1,5,58.5,13,3.3333,0
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0
14,2,0,30,39,71,6,25,13,0.538462,167,1,0,0.733333,0.222222,2,3,10.857143,2,1,0
19,3,1,21,43,87,6,15,18,0.6,336,0.2,3,0.816092,0.184211,2,24,16.421053,9,1.6842,1
11,2,0,2,20,0,1,1,9,0.2,632,1,0,0.590909,0.381818,1,2,56.181818,1,0.8182,0
3,5,0,17,33,1,1,16,2,0.5,177,1,0,0.982456,0.75,1,7,57.666667,1,0.3333,0
10,2,0,7,22,0,2,5,10,0.111111,78,0,1,0.689655,0.28,1,1,6.7,2,1,0
2,5,0,4,5,1,0,4,2,2,12,0,0,0.982143,0.75,2,7,5,1,0.5,0
9,1,0,3,16,24,2,2,8,0.708333,143,0,1,0,0.4,0,0,14.555556,3,1.5556,0
2,3,0,5,4,1,1,4,2,2,9,0,0,0.97561,0.75,1,1,3.5,1,0.5,0
2,1,0,53,2,1,53,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
4,4,0,5,6,4,1,4,4,0.666667,26,1,0,0.964286,0.45,0,0,5.25,1,0.75,0
2,5,0,5,6,1,0,5,2,2,14,0,0,0.982143,0.75,2,7,6,1,0.5,0
1,1,0,6,10,0,3,4,0,2,80,0,3,0,1,0,0,71,0,0,0
3,5,0,6,10,3,1,5,1,2,30,0,0,0.990698,0.583333,1,2,9,1,0.6667,0
18,1,0,44,38,151,43,1,17,0.941176,258,0,0,0,0.235294,0,0,13.277778,5,1.5556,1
12,4,0,5,22,4,1,4,11,0.484848,148,0.333333,0,0.921875,0.25,3,15,11.083333,2,1,0
30,1,0,46,138,309,4,44,12,0.84755,2953,1,6,0,0.1625,0,0,96.8,40,5.6667,0
6,3,0,25,39,0,1,24,5,0.4,201,1,2,0.918033,0.361111,1,6,32.166667,3,1.6667,0
4,2,0,1,15,0,0,1,4,0.833333,62,0,0,0.571429,0.5,1,4,14,3,1.5,0
3,2,2,3,7,0,2,1,2,0.5,32,1,0,0.75,0.666667,0,0,9,1,0.6667,0
25,3,0,6,49,0,4,3,25,0.520833,161,0.5,1,0.890909,0.253333,1,1,5.36,2,1,0
11,1,0,6,43,23,4,2,8,0.925,419,0.375,1,0,0.3,0,0,36.363636,10,3.1818,1
3,2,2,5,4,3,4,1,3,2,10,0,0,0.942857,1,0,0,2.333333,1,0.6667,0
8,3,0,10,33,8,0,10,8,0.428571,164,1,1,0.965517,0.3,2,5,19.375,16,2.75,0
5,2,0,2,15,10,1,1,5,2,305,0,0,0.5,0.35,2,5,60,8,2.2,0
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,5,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,0
8,2,3,7,16,18,3,4,6,0.8,114,1,0,0.837838,0.5,1,1,12.625,1,0.75,0
7,1,0,18,47,9,1,17,7,0.722222,593,0,0,0,0.333333,0,0,82.857143,10,2.4286,1
42,1,0,3,68,375,1,2,29,0.780488,2042,1,0,0,0.226481,0,0,47.333333,33,3.1429,1
3,1,0,5,9,0,0,5,3,0,32,0,1,0,0.666667,0,0,9.333333,1,0.6667,0
2,4,0,8,6,1,0,8,2,2,13,0,0,0.989691,0.625,2,4,5.5,1,0.5,0
27,4,2,21,53,257,8,15,23,0.807692,451,0.625,4,0.747573,0.138889,1,4,15.407407,5,1.5926,1
7,1,2,8,8,21,3,5,7,2,13,0,0,0,0.306122,0,0,0.857143,1,0.8571,0
2,4,0,6,8,1,0,6,2,2,23,0,0,0.979592,0.75,1,6,10.5,1,0.5,0
22,1,0,2,49,221,1,1,20,0.964286,327,1,1,0,0.143939,0,0,13.681818,2,1,1
45,2,0,60,111,932,24,40,15,0.568182,1193,0.6,1,0.328125,0.175926,0,0,25.4,12,1.2222,1
8,4,9,18,21,28,9,9,4,2,110,0,0,0.872727,0.5,2,5,12.75,2,1.125,0
5,3,0,31,42,4,0,31,4,0.5,253,1,1,0.933333,0.333333,1,6,49.4,4,1.6,0
9,2,0,5,24,0,1,4,9,0.625,106,1,2,0.555556,0.288889,1,5,10.444444,3,1.2222,0
3,3,0,5,13,0,0,5,3,0,59,1,1,0.909091,0.555556,2,7,18.333333,3,1.3333,0
4,1,0,2,8,0,1,1,0,1.269231,80,0,1,0,0.833333,0,0,12.5,3,1.75,0
3,5,0,11,11,3,0,11,3,2,37,0,0,0.99,0.533333,3,5,11.333333,1,0.3333,0
7,1,0,6,31,15,1,6,4,0.833333,189,0.5,0,0,0.233333,0,0,25.714286,2,0.8571,0
1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,0
1,1,0,3,1,0,1,2,1,2,1,0,0,0,1,0,0,0,1,1,0
4,5,0,6,9,6,1,5,3,2,64,0,0,0.976563,0.4375,1,6,15,4,1.5,0
8,3,0,19,18,4,6,13,5,0.571429,75,1,0,0.922078,0.325,2,8,8.125,1,0.75,0
3,4,0,9,29,3,2,9,2,2,107,0,0,0.990566,0.666667,1,1,34.666667,1,0.6667,0
10,6,0,35,46,1,2,33,10,0.518519,302,1,2,0.925234,0.242857,3,4,28.9,8,1.6,0
5,1,0,2,18,10,0,2,5,2,198,0,0,0,0.6,0,0,38.6,4,2,1
5,6,0,5,13,0,1,5,3,0.25,129,1,0,0.979021,0.366667,1,1,24.6,17,4,0
18,2,21,101,43,115,79,24,17,0.838235,238,1,3,0.760563,0.285714,1,2,12,6,1.4444,0
27,3,0,11,87,201,5,10,24,0.783654,697,1,0,0.444444,0.171329,1,2,24.518519,3,1.0741,1
33,1,0,3,73,0,1,3,33,0.75,469,0,2,0,0.158508,1,1,13.030303,6,1.303,0
15,5,0,26,71,0,4,25,15,0.535714,499,1,1,0.954064,0.193939,0,0,32.133333,2,0.9333,0
22,2,0,46,54,211,14,35,20,0.619048,452,1,0,0.622642,0.215909,2,4,19.5,7,1.3182,0
13,1,0,6,16,0,6,0,12,0.361111,160,1,0,0,0.410256,0,0,11.076923,2,1.2308,0
1,1,0,6,1,0,6,0,1,2,1,0,0,0,1,0,0,0,1,1,0
4,4,0,20,20,0,1,20,4,0.333333,149,1,0,0.979592,0.45,2,4,36,10,2.75,0
3,2,0,3,5,3,1,2,0,2,24,0,0,0.5,0.555556,0,0,7,2,1.3333,0
3,1,0,1,15,3,0,1,3,1.5,124,1,0,0,0.333333,0,0,40,6,2.6667,0
4,2,1,1,9,2,1,0,3,0.666667,378,1,0,0.942857,0.666667,2,3,93,6,1.75,1
10,2,0,3,22,0,0,3,10,0.666667,121,1,1,0.526316,0.35,1,5,10.7,4,1.3,0
4,4,1,9,8,4,7,4,4,0.666667,30,1,0,0.990868,0.45,0,0,6.25,1,0.5,0
3,1,0,3,11,0,2,1,3,0.5,64,1,0,0,0.555556,0,0,19.666667,1,0.6667,0
8,6,0,31,41,0,1,30,8,0.285714,253,1,2,0.933962,0.25,4,5,30.375,8,1.75,0
14,1,0,13,23,55,12,2,13,0.153846,212,1,2,0,0.42735,0,0,14,1,0.8571,0
4,1,0,6,4,6,4,2,4,2,4,0,0,0,0.5,0,0,0,1,1,0
4,1,0,67,4,6,67,0,4,2,4,0,0,0,0.583333,0,0,0,1,1,0
17,2,4,8,36,30,5,3,6,0.912946,505,1,0,0.704545,0.25,0,0,27.058824,3,1.2353,1
42,1,0,11,86,0,4,9,41,0.887195,572,1,2,0,0.190476,0,0,12.428571,3,1.1429,1
15,1,0,7,34,15,4,6,8,0.619048,331,1,1,0,0.190476,0,0,20.466667,1,0.8667,1
5,3,0,21,24,0,2,19,4,0.25,84,1,1,0.933333,0.314286,1,4,15.4,1,0.8,0
2,8,0,4,4,1,2,2,1,2,12,0,0,1,0.833333,0,0,5,0,0,1
5,3,0,24,32,0,1,23,4,0.375,177,1,1,0.933333,0.333333,2,5,34,4,1.8,0
3,3,0,10,12,3,1,9,3,2,50,0,0,0.95,0.5,1,6,15.666667,1,0.6667,0
4,5,0,5,12,0,1,4,2,0.636364,179,1,0,0.989529,0.55,1,1,41,1,0.5,0
5,1,0,1,9,0,1,0,5,0.5,41,1,0,0,0.466667,0,0,6.8,1,0.8,0
9,2,1,21,10,36,20,6,1,2,28,0,0,0.6,0.314815,0,0,2.111111,1,0.8889,0
1,1,0,2,2,0,2,0,1,2,20,0,0,0,1,0,0,15,0,0,0
17,1,0,60,64,78,44,16,17,0.96875,462,0.2,1,0,0.211765,0,0,25.588235,2,0.9412,0
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.611111,0,0,0,1,1,0
5,1,12,28,6,10,28,0,5,2,19,0,0,0,0.9,0,0,2.8,1,0.8,0
7,1,0,11,45,1,0,11,4,0.75,499,0.5,0,0,0.571429,0,0,69.714286,7,1.7143,0
26,1,1,17,84,315,12,5,23,0.884444,1119,0.888889,6,0,0.22,0,0,41.692308,40,4.9615,0
6,3,0,3,11,9,2,1,6,0.6,49,1,0,0.975124,0.444444,2,5,7,3,1.1667,0
2,3,0,3,5,0,0,3,2,0,18,0,1,0.964286,0.666667,1,1,7.5,1,0.5,0
8,3,0,4,22,28,1,3,7,2,177,0,0,0.860465,0.375,2,4,21.125,1,0.75,0
4,5,0,5,6,0,2,3,3,0.333333,23,1,0,0.986486,0.5,0,0,4.5,1,0.75,0
7,3,4,9,16,0,4,6,6,0.166667,119,1,1,0.970297,0.428571,0,0,15.857143,2,1,0
11,2,4,12,20,0,6,7,11,0.2,88,1,1,0.75,0.227273,1,7,6.909091,3,1.3636,0
4,2,0,6,25,0,1,5,2,0.444444,152,0,2,0.727273,0.5625,1,4,36.25,1,0.75,0
16,3,0,6,52,112,1,5,11,0.777778,509,1,0,0.74,0.344444,2,8,30.625,1,0.8125,0
10,2,0,6,16,45,5,1,10,2,143,0,0,0.666667,0.8,1,14,13.3,2,1.1,1
25,1,0,53,25,300,52,2,25,1.041667,28,0,0,0,0.34,0,0,0,1,1,0
19,3,2,32,61,99,15,20,18,0.907407,335,1,3,0.769231,0.190789,1,4,16,7,1.7368,0
11,1,0,15,45,0,1,15,9,0.633333,360,1,2,0,0.222222,0,0,31.181818,11,2.4545,0
36,1,0,25,96,516,10,16,35,0.929143,831,0.52,9,0,0.142593,0,0,21.388889,12,2.0556,0
6,3,0,35,56,0,2,33,5,0.45,416,1,2,0.918033,0.305556,2,8,67.666667,28,6,0
8,2,0,3,21,0,1,3,8,0.428571,105,0.5,1,0.588235,0.34375,1,5,11.875,3,1.125,0
3,4,0,8,11,0,0,8,3,0,51,1,1,0.979592,0.444444,3,13,15.666667,2,1,0
7,3,0,10,16,9,1,9,6,0.5,55,1,1,0.970297,0.314286,2,5,6.714286,2,1,0
14,1,0,23,44,29,11,13,14,0.769231,546,1,0,0,0.206349,0,0,37.642857,4,1.8571,0
28,1,0,20,42,0,19,1,21,0.62963,1676,0.0625,1,0,0.242798,0,0,58.285714,11,3,1
12,7,0,16,35,6,3,14,8,0.409091,230,1,1,0.93007,0.291667,4,13,18,5,1.6667,1
11,4,1,17,43,39,11,10,9,0.8,333,1,0,0.964286,0.309091,1,2,28.909091,4,1.5455,0
21,1,0,2,51,134,1,1,21,0.716667,292,1,0,0,0.265306,0,0,12.761905,7,1.381,1
7,2,0,1,13,0,1,0,7,0,65,1,0,0.684211,0.342857,1,2,8.142857,1,0.8571,0
2,4,0,5,5,0,3,3,2,0,25,0,0,0.987342,0.666667,2,3,11,2,1,0
5,1,2,6,24,0,5,1,5,0.6,419,0,1,0,0.35,0,0,81.8,8,3.4,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0
2,2,0,7,9,1,0,7,2,2,39,0,0,1,0.75,0,0,18.5,0,0,0
3,4,0,8,16,3,1,8,3,2,176,0,0,0.975904,0.583333,2,12,57.666667,1,0.6667,0
37,3,1,18,68,218,10,8,34,0.625,693,1,2,0.682692,0.171171,2,9,17.621622,12,2.2432,1
2,1,0,3,2,1,3,0,2,2,10,0,0,0,0.666667,0,0,0,1,1,0
10,1,0,1,14,0,0,1,10,0.472222,180,1,1,0,0.4,0,0,16.6,3,1.6,0
6,3,0,31,54,3,2,30,5,0.6,314,1,2,0.918033,0.361111,1,5,51,9,2.6667,0
16,5,0,23,52,46,4,22,13,0.6,561,1,2,0.899281,0.2,2,13,33.9375,9,2.4375,1
51,1,0,27,115,1275,11,25,40,1.02,2159,0,0,0,0.181373,0,0,40.823529,18,3.3333,1
3,4,0,1,5,1,0,1,2,0.5,79,1,0,0.975,0.75,2,3,25,3,1,0
10,3,0,21,32,0,4,18,7,0.583333,262,1,0,0.875,0.266667,2,6,24.8,10,2.1,0
10,1,0,5,33,0,1,4,8,0.472222,182,1,2,0,0.4,0,0,16.8,2,0.9,0
9,1,0,11,19,0,7,4,9,0.5,101,1,1,0,0.555556,0,0,10,2,1,0
6,3,0,21,40,0,2,21,5,0.8,706,1,0,0.923077,0.333333,3,7,114.333333,28,7.3333,1
9,3,0,58,46,0,33,25,8,0.583333,508,1,2,0.910256,0.3125,2,7,55.111111,5,1.3333,0
