@relation tomcat-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {0,1}

@data
1,1,0,0,2,0,0,0,1,2,33,0,0,0,1,0,0,3,0,0,0
14,1,2,14,45,33,3,0,13,0.78022,293,1,3,0,0.346154,0,0,19.428571,8,1.3571,0
10,3,0,10,56,25,0,0,3,0.777778,514,1,1,0.857143,0.333333,1,3,49.9,19,3.5,0
8,1,9,0,18,28,0,0,7,1.142857,55,0,0,0,0.55,0,0,5.625,4,1.25,0
3,2,0,5,12,1,1,0,3,0,259,1,0,0.666667,0.555556,1,1,85,1,0.3333,0
4,1,0,1,9,2,1,0,2,0.666667,395,1,0,0,0.5,0,0,97.25,1,0.5,0
37,4,0,1,63,110,1,0,33,0.464286,612,1,0,0.567901,0.150463,3,4,15.351351,3,1.1351,0
40,2,0,11,111,380,0,0,35,0.845039,1771,1,0,0.24,0.352564,1,5,42.7,4,1.1,0
5,3,0,2,11,8,1,0,5,0.75,37,1,1,0.833333,0.36,1,1,6.2,1,0.8,0
19,2,0,10,65,109,2,0,13,0.883333,558,1,1,0.738462,0.322222,1,5,27.842105,15,2.5789,1
2,4,0,3,3,1,1,0,2,2,8,0,0,0.97561,0.666667,0,0,3,1,0.5,0
3,1,0,5,25,0,0,0,2,1.1,172,1,1,0,0.75,0,0,54.666667,7,2.3333,0
8,1,0,6,64,22,2,0,6,0.714286,509,1,1,0,0.285714,0,0,62.375,12,2.625,0
15,2,0,3,16,0,2,0,15,0.806723,385,0.411765,5,0.222222,0.425,0,0,23.533333,1,0.4667,0
14,1,0,2,18,33,2,0,13,0.782051,152,1,1,0,0.47619,0,0,9.428571,5,1.2143,0
31,4,0,5,69,451,4,0,28,0.377778,270,1,0,0.6375,0.141667,2,9,7.612903,5,1.2258,0
5,1,0,0,5,10,0,0,5,2,5,0,0,0,0.4,0,0,0,1,1,0
12,1,0,1,16,14,1,0,12,0.727273,139,1,0,0,0.708333,0,0,10.166667,5,1.25,0
14,3,0,4,29,11,1,0,14,0.692308,149,1,0,0.428571,0.255102,1,1,9.428571,6,1.6429,0
